Anchor_Name,Anchor_Color,Cheapest_Retailer,Min_Price,Price_Spread,Spread_Pct,FPT_Price,CPS_Price,HoangHa_Price,Viettel_Price,DDV_Price,MW_Price
iPad Air 13 inch M3 2025 WiFi 128GB,Xám không gian,DDV,13790000.0,9200000.0,66.7,21190000,21390000.0,19990000.0,22990000.0,13790000.0,21790000.0
iPad A16 WiFi 128GB,Bạc,"FPT, CPS, DDV, MW",8490000.0,200000.0,2.4,8490000,8490000.0,8690000.0,8690000.0,8490000.0,8490000.0
iPad A16 5G 256GB,Vàng,DDV,11390000.0,33600000.0,295.0,15790000,15790000.0,14990000.0,44990000.0,11390000.0,12990000.0
iPad Air 11 inch M2 2024 Wifi 128GB,Xanh dương,Viettel,8690000.0,8300000.0,95.5,16990000,15890000.0,14990000.0,8690000.0,13490000.0,15790000.0
iPad Air 13 inch M3 2025 WiFi + Cellular 128GB,Xanh dương,DDV,13790000.0,12200000.0,88.5,25990000,21390000.0,19990000.0,24490000.0,13790000.0,21790000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Xám không gian,DDV,13790000.0,4700000.0,34.1,15790000,15790000.0,14990000.0,18490000.0,13790000.0,15790000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 256GB,Hồng,DDV,11390000.0,15100000.0,132.6,24990000,18790000.0,21490000.0,26490000.0,11390000.0,19090000.0
iPad Air 13 inch M3 2025 WiFi 128GB,Xanh dương,DDV,13490000.0,11000000.0,81.5,21190000,21390000.0,19990000.0,24490000.0,13490000.0,21790000.0
iPad A16 WiFi 128GB,Xanh dương,"FPT, CPS, DDV, MW",8490000.0,200000.0,2.4,8490000,8490000.0,8690000.0,8690000.0,8490000.0,8490000.0
iPad A16 5G 256GB,Xanh dương,DDV,11390000.0,33600000.0,295.0,15790000,15790000.0,14990000.0,44990000.0,11390000.0,12990000.0
iPad Air 13 inch M3 2025 WiFi + Cellular 128GB,Xám không gian,DDV,13790000.0,12200000.0,88.5,25990000,21390000.0,19990000.0,22990000.0,13790000.0,21790000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Ánh Sao,DDV,13790000.0,10700000.0,77.6,15790000,15790000.0,14990000.0,24490000.0,13790000.0,15790000.0
iPad Air 11 inch M3 2025 WiFi + Cellular 256GB,Tím,DDV,13790000.0,9500000.0,68.9,23290000,18790000.0,17990000.0,18490000.0,13790000.0,19090000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 256GB,Tím,DDV,11390000.0,15100000.0,132.6,24990000,18790000.0,17990000.0,26490000.0,11390000.0,19090000.0
iPad A16 WiFi 128GB,Hồng,FPT,8490000.0,2900000.0,34.2,8490000,8690000.0,8690000.0,8690000.0,11390000.0,8690000.0
iPad A16 5G 256GB,Hồng,Viettel,8690000.0,7100000.0,81.7,15790000,15790000.0,14990000.0,8690000.0,11390000.0,12990000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Xanh dương,DDV,13490000.0,11000000.0,81.5,15790000,15790000.0,14990000.0,24490000.0,13490000.0,15790000.0
iPad Air 13 inch M3 2025 WiFi + Cellular 128GB,Ánh Sao,DDV,13490000.0,12500000.0,92.7,25990000,21390000.0,19990000.0,24490000.0,13490000.0,15790000.0
iPad Air 11 inch M2 2024 Wifi 256GB,Tím,DDV,13790000.0,5700000.0,41.3,19490000,18790000.0,17990000.0,18490000.0,13790000.0,19090000.0
iPad Air 11 inch M3 2025 WiFi + Cellular 256GB,Xanh dương,DDV,13790000.0,9500000.0,68.9,23290000,18790000.0,17990000.0,18490000.0,13790000.0,19090000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 256GB,Trắng,DDV,12490000.0,14000000.0,112.1,24990000,18790000.0,17990000.0,26490000.0,12490000.0,19090000.0
iPad A16 WiFi 128GB,Vàng,"HoangHa, DDV",8490000.0,200000.0,2.4,8690000,8690000.0,8490000.0,8690000.0,8490000.0,8690000.0
iPad Air 13 inch M3 2025 WiFi 128GB,Ánh Sao,DDV,13490000.0,9500000.0,70.4,21190000,21390000.0,19990000.0,22990000.0,13490000.0,21790000.0
iPad A16 5G 256GB,Bạc,DDV,11390000.0,33600000.0,295.0,15790000,15790000.0,14990000.0,44990000.0,11390000.0,12990000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Tím,DDV,13790000.0,10700000.0,77.6,15790000,15890000.0,14990000.0,24490000.0,13790000.0,15790000.0
