SKU,Days_Tracked,First_Price_Avg,Last_Price_Avg,Change_Pct,Volatility,Min_Price_Seen,Max_Price_Seen
Macbook Air 15 M4 2025 10CPU/ 10GPU/ 24GB/ 512GB - Xanh Da Trời,19,33123333.333333332,32273333.333333332,-2.57,1082168.73,0.0,39490000.0
Macbook Air 15 M4 2025 10CPU/ 10GPU/ 24GB/ 512GB - Ánh Sao,11,36956666.666666664,33010000.0,-10.68,1460679.03,24590000.0,39490000.0
Macbook Air 15 M4 2025 10CPU/ 10GPU/ 24GB/ 512GB - Đêm Xanh Thẳm,12,33023333.333333332,32250000.0,-2.34,1165167.4,15690000.0,39590000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/256GB - Bạc,18,28256666.666666668,28623333.333333332,1.3,585095.1,23990000.0,33590000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/256GB - Xanh Da Trời,20,26665000.0,26206666.666666668,-1.72,838405.01,19190000.0,30490000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/256GB - Ánh Sao,14,29023333.333333332,27523333.333333332,-5.17,775729.05,18890000.0,31390000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/256GB - Đêm Xanh Thẳm,14,27490000.0,27240000.0,-0.91,857754.99,15690000.0,33990000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/512GB - Bạc,11,36306666.666666664,34773333.333333336,-4.22,1030043.64,18890000.0,44590000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/512GB - Xanh Da Trời,19,29858333.333333332,31856666.666666668,6.69,1202005.25,0.0,39490000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/512GB - Ánh Sao,8,34390000.0,35210000.0,2.38,1128170.93,26090000.0,39490000.0
Macbook Air 15 M4 2025 10CPU/10GPU/16GB/512GB - Đêm Xanh Thẳm,11,35506666.666666664,33023333.333333332,-6.99,1472185.83,15690000.0,39490000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/1TB - Bạc,8,52640000.0,46323333.333333336,-12.0,3111173.64,18890000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/1TB - Đen,16,46682000.0,39230000.0,-15.96,4995840.63,18890000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/1TB Nano - Bạc,6,60656666.666666664,59990000.0,-1.1,4653127.03,19250000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/1TB Nano - Đen,4,59430000.0,53506666.666666664,-9.97,2606233.8,18890000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/512GB - Bạc,8,42806666.666666664,38973333.333333336,-8.95,2912903.42,18890000.0,59990000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/512GB - Đen,15,47770000.0,45270000.0,-5.23,2792898.94,18890000.0,59990000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/512GB Nano - Bạc,8,50368333.333333336,48844000.0,-3.03,6075549.48,18890000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/512GB Nano - Đen,17,51840000.0,51840000.0,0.0,3467642.74,18890000.0,63990000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/24GB/1TB Nano - Bạc,6,61473333.333333336,60970000.0,-0.82,4374816.14,19250000.0,79090000.0
Macbook Pro 14 M5 2025 10CPU/10GPU/24GB/1TB Nano - Đen,16,60173333.333333336,60173333.333333336,0.0,3358107.54,19190000.0,79090000.0
Macbook Pro 14 inch M5 2025 10CPU/10GPU/16GB/1TB Nano - Đen,13,60656666.666666664,55806666.666666664,-8.0,2875250.54,19190000.0,79090000.0
iPad A16 5G 128GB - Bạc,40,13390000.0,12123333.333333334,-9.46,1910506.99,8490000.0,44990000.0
iPad A16 5G 128GB - Hồng,41,14440000.0,11456666.666666666,-20.66,1249696.16,8490000.0,24990000.0
iPad A16 5G 128GB - Vàng,39,15215000.0,11456666.666666666,-24.7,1273841.78,8490000.0,24990000.0
iPad A16 5G 128GB - Xanh dương,39,13465000.0,12106666.666666666,-10.09,850730.61,8690000.0,30490000.0
iPad A16 5G 256GB - Bạc,16,18665000.0,19323333.333333332,3.53,2268515.01,8690000.0,44990000.0
iPad A16 5G 256GB - Hồng,15,17415000.0,13273333.333333334,-23.78,1796219.32,8690000.0,29990000.0
iPad A16 5G 256GB - Vàng,16,14165000.0,19323333.333333332,36.42,1625454.68,8690000.0,44990000.0
iPad A16 5G 256GB - Xanh dương,16,14165000.0,19323333.333333332,36.42,1663129.24,8690000.0,44990000.0
iPad A16 5G 512GB - Bạc,11,17290000.0,20240000.0,17.06,3009868.99,8690000.0,44990000.0
iPad A16 5G 512GB - Hồng,10,18790000.0,13723333.333333334,-26.96,1894534.86,8690000.0,29990000.0
iPad A16 5G 512GB - Vàng,11,17290000.0,19773333.333333332,14.36,2408227.92,8690000.0,44990000.0
iPad A16 5G 512GB - Xanh dương,11,17290000.0,21540000.0,24.58,1554097.87,8690000.0,44990000.0
iPad A16 WiFi 128GB - Bạc,50,11340000.0,8556666.666666666,-24.54,1446681.23,8490000.0,29990000.0
iPad A16 WiFi 128GB - Hồng,50,14840000.0,9106666.666666666,-38.63,2284838.08,8490000.0,30990000.0
iPad A16 WiFi 128GB - Vàng,50,14840000.0,8623333.333333334,-41.89,2409203.6,8490000.0,30990000.0
iPad A16 WiFi 128GB - Xanh dương,50,11340000.0,8556666.666666666,-24.54,1455762.3,8490000.0,29990000.0
iPad A16 WiFi 256GB - Bạc,10,15590000.0,13123333.333333334,-15.82,2197741.02,8690000.0,30990000.0
iPad A16 WiFi 256GB - Hồng,10,15590000.0,13890000.0,-10.9,2149297.76,8690000.0,30990000.0
iPad A16 WiFi 256GB - Vàng,10,15590000.0,13123333.333333334,-15.82,2195551.55,8690000.0,30990000.0
iPad A16 WiFi 256GB - Xanh dương,10,15590000.0,13123333.333333334,-15.82,2200086.14,8690000.0,30990000.0
iPad A16 WiFi 512GB - Bạc,10,18340000.0,13890000.0,-24.26,2275236.94,8690000.0,36490000.0
iPad A16 WiFi 512GB - Hồng,10,18340000.0,15723333.333333334,-14.27,1804255.51,8690000.0,36490000.0
iPad A16 WiFi 512GB - Vàng,9,18340000.0,13890000.0,-24.26,2315899.47,8690000.0,36490000.0
iPad A16 WiFi 512GB - Xanh dương,9,18340000.0,14790000.0,-19.36,2023434.83,8690000.0,36490000.0
"iPad Air 11 M3 WiFi + Cellular 128GB 2025 giá rẻ, góp 0% - Xám không gian",5,18150000.0,17090000.0,-5.84,991389.6,12790000.0,28490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 128GB - Trắng,39,14690000.0,16173333.333333334,10.1,1395743.08,8690000.0,29990000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 128GB - Tím,39,15640000.0,17706666.666666668,13.21,1149048.65,8690000.0,29990000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 128GB - Xanh dương,40,15640000.0,17656666.666666668,12.89,1130014.97,8690000.0,29990000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 128GB - Xám,39,14640000.0,16506666.666666666,12.75,1162468.25,8690000.0,29990000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 1TB - Trắng,4,16691666.666666666,22206666.666666668,33.04,3972568.67,0.0,34490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 1TB - Tím,4,16691666.666666666,22206666.666666668,33.04,3786812.03,0.0,34490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 1TB - Xanh dương,4,16691666.666666666,22206666.666666668,33.04,3972568.67,0.0,34490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 1TB - Xám,4,16675000.0,22206666.666666668,33.17,3975855.49,0.0,34490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 256GB - Trắng,13,17690000.0,19106666.666666668,8.01,1314429.29,11190000.0,28490000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 256GB - Tím,10,14358333.333333334,19306666.666666668,34.46,3123435.42,0.0,28490000.0
