retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Bạc 512gb 16GB,Mac,512gb,Bạc,34990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102664
CellphoneS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Bạc Dây Cao Su,Watch,unknown_storage,Nhôm Bạc,4790000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-40mm-vien-nhom-day-cao-su.html?product_id=90454
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 256gb 16GB,Mac,256gb,Ánh Sao,28990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101854
CellphoneS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Bạc Dây Cao Su,Watch,unknown_storage,Nhôm Bạc,5590000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-44mm-vien-nhom-day-cao-su.html?product_id=90463
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,33490000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101857
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,39590000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102668
CellphoneS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M,,apple_watch_se_3,Apple Watch SE 3 40 mm Nhôm Bạc Dây Cao Su,Watch,unknown_storage,Nhôm Bạc,8390000.0,No,https://cellphones.com.vn/apple-watch-se-3-40mm-5g.html
CellphoneS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Vàng Hồng Dây Cao Su,Watch,unknown_storage,Nhôm Vàng Hồng,5590000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-44mm-vien-nhom-day-cao-su.html?product_id=90464
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 512gb 16GB,Mac,512gb,Ánh Sao,33490000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101859
CellphoneS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L,,apple_watch_se_3,Apple Watch SE 3 40 mm Nhôm Ánh Sao Dây Cao Su,Watch,unknown_storage,Nhôm Ánh Sao,8390000.0,No,https://cellphones.com.vn/apple-watch-se-3-40mm-5g-size-m-l.html
